 invoiceno,stockcode,description,quantity,invoicedate,unitprice,revenue,customerid,country
536365,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2010-12-01 08:26:00.000000 UTC,2.55,15.3,17850,United Kingdom
536365,71053,WHITE METAL LANTERN,6,2010-12-01 08:26:00.000000 UTC,3.39,20.34,17850,United Kingdom
536365,84406B,CREAM CUPID HEARTS COAT HANGER,8,2010-12-01 08:26:00.000000 UTC,2.75,22.0,17850,United Kingdom
536365,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,2010-12-01 08:26:00.000000 UTC,3.39,20.34,17850,United Kingdom
536365,84029E,RED WOOLLY HOTTIE WHITE HEART.,6,2010-12-01 08:26:00.000000 UTC,3.39,20.34,17850,United Kingdom
536365,22752,SET 7 BABUSHKA NESTING BOXES,2,2010-12-01 08:26:00.000000 UTC,7.65,15.3,17850,United Kingdom
536365,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,2010-12-01 08:26:00.000000 UTC,4.25,25.5,17850,United Kingdom
536366,22633,HAND WARMER UNION JACK,6,2010-12-01 08:28:00.000000 UTC,1.85,11.1,17850,United Kingdom
536366,22632,HAND WARMER RED POLKA DOT,6,2010-12-01 08:28:00.000000 UTC,1.85,11.1,17850,United Kingdom
536367,84879,ASSORTED COLOUR BIRD ORNAMENT,32,2010-12-01 08:34:00.000000 UTC,1.69,54.08,13047,United Kingdom
536367,22745,POPPY'S PLAYHOUSE BEDROOM,6,2010-12-01 08:34:00.000000 UTC,2.1,12.6,13047,United Kingdom
536367,22748,POPPY'S PLAYHOUSE KITCHEN,6,2010-12-01 08:34:00.000000 UTC,2.1,12.6,13047,United Kingdom
536367,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,8,2010-12-01 08:34:00.000000 UTC,3.75,30.0,13047,United Kingdom
536367,22310,IVORY KNITTED MUG COSY,6,2010-12-01 08:34:00.000000 UTC,1.65,9.9,13047,United Kingdom
536367,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,6,2010-12-01 08:34:00.000000 UTC,4.25,25.5,13047,United Kingdom
536367,22623,BOX OF VINTAGE JIGSAW BLOCKS,3,2010-12-01 08:34:00.000000 UTC,4.95,14.85,13047,United Kingdom
536367,22622,BOX OF VINTAGE ALPHABET BLOCKS,2,2010-12-01 08:34:00.000000 UTC,9.95,19.9,13047,United Kingdom
536367,21754,HOME BUILDING BLOCK WORD,3,2010-12-01 08:34:00.000000 UTC,5.95,17.85,13047,United Kingdom
536367,21755,LOVE BUILDING BLOCK WORD,3,2010-12-01 08:34:00.000000 UTC,5.95,17.85,13047,United Kingdom
536367,21777,RECIPE BOX WITH METAL HEART,4,2010-12-01 08:34:00.000000 UTC,7.95,31.8,13047,United Kingdom
536367,48187,DOORMAT NEW ENGLAND,4,2010-12-01 08:34:00.000000 UTC,7.95,31.8,13047,United Kingdom
536368,22960,JAM MAKING SET WITH JARS,6,2010-12-01 08:34:00.000000 UTC,4.25,25.5,13047,United Kingdom
536368,22913,RED COAT RACK PARIS FASHION,3,2010-12-01 08:34:00.000000 UTC,4.95,14.85,13047,United Kingdom
536368,22912,YELLOW COAT RACK PARIS FASHION,3,2010-12-01 08:34:00.000000 UTC,4.95,14.85,13047,United Kingdom
536368,22914,BLUE COAT RACK PARIS FASHION,3,2010-12-01 08:34:00.000000 UTC,4.95,14.85,13047,United Kingdom
